"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"147","Greater Boston","ABINGTON","MAIN OFFICE","245168001","16 HARRISON AVE","ABINGTON","MA","02351-9998","Jun-57","Landlord","4/1/2007","3/31/2017","A","A","Reimbursable","","","","ASSET #20024 LLC","C/O NATIONWIDE POSTAL MGMT","123 GROVE AVE #222","","CEDARHURST","NY","115162302","3,750","11,670","$103,125.00 ","$27.50 ","$0.00 ","$0.00 "
"148","Greater Boston","ACTON","MAIN OFFICE","240051003","7 POST OFFICE SQ","ACTON","MA","01720-9998","May-90","Landlord","5/1/2015","4/30/2020","A","A","Percentage","Y","1","5","FDI POSTAL PROPERTIES II INC","PO BOX 659","","","MOUNT AIRY","MD","217710659","13,438","119,530","$281,590.50 ","$20.95 ","$295,670.00 ","$22.00 "
"149","Greater Boston","ACTON","WEST ACTON STATION","240051002","241 ARLINGTON ST","ACTON","MA","01720-2200","May-60","Landlord","9/1/2014","8/31/2019","A","A","Reimbursable","","","","LR PROPERTIES LLC","450 OLD UNION TURNPIKE","","","LANCASTER","MA","15233019","2,168","17,138","$38,000.00 ","$17.53 ","$0.00 ","$0.00 "
"150","Greater Boston","ANDOVER","ADDITIONAL PARKING","240153008","20 STEVENS STREET","ANDOVER","MA","01810-9998","","USPS","12/1/2007","11/30/2027","X","Z","Reimbursable","","","","ANDMAS REALTY CO LLC","103 GODWIN AVE STE 103","","","MIDLAND PARK","NJ","74321867","0","7,500","$29,994.00 ","$4.00 ","$0.00 ","$0.00 "
"151","Greater Boston","ANDOVER","BALLARDVALE STATION","240153003","187 ANDOVER ST","ANDOVER","MA","01810-9992","Feb-55","Landlord","3/1/2016","2/28/2021","A","A","None Specified","","","","MARK P RICHARDS","AND MELISSA S RICHARDS","187 ANDOVER ST","","ANDOVER","MA","18105638","800","800","$15,600.00 ","$19.50 ","$0.00 ","$0.00 "
"152","Greater Boston","ANDOVER","GROUND LEASE","240153007","10 STEVENS ST","ANDOVER","MA","01810-9998","","USPS","4/1/1987","3/31/2027","Q","Z","Reimbursable","","4","20","ANDMAS REALTY CO LLC","103 GODWIN AVE STE 103","","","MIDLAND PARK","NJ","74321867","0","288,367","$78,125.00 ","$0.27 ","$0.00 ","$0.00 "
"153","Greater Boston","ANDOVER","OLD TOWN HOUSE ","240153010","20 MAIN ST","ANDOVER","MA","01810-9993","Aug-90","Landlord","8/1/2015","7/31/2020","A","A","None Specified","","","","ANDOVER TOWN OFFICES","36 BARTLET ST STE 2","","","ANDOVER","MA","18103882","1,105","1,105","$20,493.00 ","$18.55 ","$0.00 ","$0.00 "
"154","Greater Boston","ANDOVER","SHAWSHEEN VILLAGE STA","240153009","360 N MAIN ST","ANDOVER","MA","01810-9991","Jul-94","Landlord","7/1/2014","6/30/2019","A","A","Percentage","","","","CAROL C MC DONOUGH","TRUSTEE OF ALGONQUIN","REALTY TRUST","5 COMANCHE PL","ANDOVER","MA","18105505","1,400","1,429","$26,250.00 ","$18.75 ","$0.00 ","$0.00 "
"155","Greater Boston","ASHBY","MAIN POST OFFICE","240221003","10 COMMON RD STE 2","ASHBY","MA","01431-2323","Mar-02","Landlord","3/29/2002","3/28/2022","P","P","Percentage","","2","10","ABIJAH WYMAN HOUSE LLC","ANNE MARIE LYNCH","15 SUMMER ST UNIT 308","","FRANKLIN","MA","20385405","2,939","36,600","$75,000.00 ","$25.52 ","$82,000.00 ","$27.90 "
"156","Greater Boston","AUBURN","MAIN OFFICE","240357001","60 AUBURN ST","AUBURN","MA","01501-9998","Apr-64","USPS (Not Roof)","1/1/2016","3/31/2020","A","A","Reimbursable","","","","MASS POSTAL HLDGS LLC","123 GROVE AVE STE 222","","","CEDARHURST","NY","115162302","8,107","45,264","$141,872.50 ","$17.50 ","$0.00 ","$0.00 "
"157","Greater Boston","AVON","MAIN OFFICE","240374001","8 E MAIN ST","AVON","MA","02322-9998","Oct-59","USPS (Not Roof)","10/1/2014","9/30/2019","A","A","Reimbursable","","1","5","VALLEY REALTY CO","8342 MACON RD","","","CORDOVA","TN","380188554","2,973","9,750","$35,420.00 ","$11.91 ","$36,960.00 ","$12.43 "
"158","Greater Boston","BALDWINVILLE","MAIN OFFICE","240408001","38 ELM ST","BALDWINVILLE","MA","01436-9998","May-68","Landlord","6/1/2013","5/31/2018","A","A","Reimbursable","","1","5","RUSSELL L DEANE","AND/OR LILLIAN F DEANE","259 BALD MOUNTAIN RD","","BERNARDSTON","MA","13379694","1,870","11,113","$15,895.00 ","$8.50 ","$17,297.50 ","$9.25 "
"159","Greater Boston","BARNSTABLE","MAIN OFFICE","240459001","3230 MAIN ST","BARNSTABLE","MA","02630-9998","Jan-59","Landlord","5/1/2014","4/30/2019","A","A","Percentage","","1","5","ALBERT E MINUCCI","JUDITH A MINUCCI","PO BOX 194","","BARNSTABLE","MA","26300194","2,410","21,155","$55,430.00 ","$23.00 ","$65,070.00 ","$27.00 "
"160","Greater Boston","BEDFORD","Post Office (Fin.Sta.)","240561003","168 GREAT RD STE 7","BEDFORD","MA","01730-9997","Apr-89","Shared","10/1/2011","9/30/2016","A","A","Percentage","","","","RFPS 160 OWNER LLC","PO BOX 28928","","","NEW YORK","NY","100878928","2,094","2,000","$67,008.00 ","$32.00 ","$66,048.00 ","$31.54 "
"161","Greater Boston","BERLIN","MAIN POST OFFICE","240646003","260 PLEASANT ST","BERLIN","MA","01503-9998","Nov-96","Shared","11/16/2011","11/15/2016","A","A","Reimbursable","Y","1","5","WILLARD H WHEELER AND","JOANNE WHEELER","232 PLEASANT ST","","BERLIN","MA","15032005","2,819","80,000","$41,100.00 ","$14.58 ","$41,600.00 ","$14.76 "
"162","Greater Boston","BEVERLY","BEVERLY FARMS STATION","240680001","36 WEST ST STE 3","BEVERLY","MA","01915-9991","Dec-63","Landlord","1/19/2014","1/18/2019","A","A","Percentage","","1","5","KIRK M ANDERSON","36 WEST ST","","","BEVERLY","MA","19152226","1,038","1,386","$19,722.00 ","$19.00 ","$20,531.00 ","$19.78 "
"163","Greater Boston","BEVERLY","DETACHED BOX UNIT","240680006","100 CUMMINGS CTR STE 108F","BEVERLY","MA","01915-9993","Aug-97","Landlord","8/1/2002","","E","E","None Specified","N","","","","","","","","","","722","722","$1.00 ","$0.00 ","$0.00 ","$0.00 "
"164","Greater Boston","BILLERICA","MAIN OFFICE","240714001","460 BOSTON RD","BILLERICA","MA","01821-9998","Mar-66","Landlord","3/1/2016","2/28/2021","A","A","Reimbursable","","1","5","TRAPELO REALTY INC","C/O BNY MELLON, N.A., TRUST","REAL ESTATE DEPT,","201 WASHINGTON STREET","BOSTON","MA","21084403","4,727","25,015","$99,267.00 ","$21.00 ","$109,997.00 ","$23.27 "
"165","Greater Boston","BLACKSTONE","MAIN OFFICE","240731001","149 MAIN ST","BLACKSTONE","MA","01504-9998","Aug-49","Landlord","8/15/2008","8/14/2018","A","A","Reimbursable","","1","5","M H PARSONS & SONS","LUMBER COMPANY","PO BOX 460","","YORK","ME","39090460","4,438","10,848","$65,460.00 ","$14.75 ","$72,000.00 ","$16.22 "
"166","Greater Boston","BLACKSTONE","MPO PARKING","240731002","149 MAIN ST","BLACKSTONE","MA","01504-9998","","Landlord","8/15/2013","8/14/2018","X","Z","None Specified","","","","SANTKRUPA REALTY CORP INC","422 WEST GROVE ST","","","MIDDLEBORO","MA","23461456","0","5,400","$7,980.00 ","$1.48 ","$0.00 ","$0.00 "
"167","Greater Boston","BOLTON","MAIN OFFICE","240765002","1092 MAIN ST","BOLTON","MA","01740-9998","Oct-89","Landlord","10/1/2014","9/30/2019","A","A","Reimbursable","","1","5","NASHOBA PARK REALTY TRUST","ATTN: DAN SOCHALSKI","216 N HOLLAND POINT DR","","STELLA","NC","285829603","4,899","5,214","$110,227.50 ","$22.50 ","$121,250.25 ","$24.75 "
"168","Greater Boston","BOSTON","ALLSTON","240799038","47 HARVARD AVE","ALLSTON","MA","02134-9998","Apr-70","Landlord","4/1/2015","3/31/2020","A","A","None Specified","N","1","5","MESTIB REALTY TRUST","GERARD F MELIA TRUSTEE","1 ADAMS ST","","MILTON","MA","21863421","6,257","20,487","$18,000.00 ","$2.88 ","$18,000.00 ","$2.88 "
"169","Greater Boston","BOSTON","ARLINGTON HEIGHTS","240799001","1347 MASSACHUSETTS AVE","ARLINGTON","MA","02476-4101","Apr-52","USPS (Not Roof)","6/1/2013","5/31/2018","A","A","None Specified","","","","BERNARD DONAHUE","MASS AVE REALTY TRUST","14 RIVERSIDE PARK","","MAYNARD","MA","17541971","850","1,180","$27,000.00 ","$31.76 ","$0.00 ","$0.00 "
"170","Greater Boston","BOSTON","ASTOR","240799121","207 MASSACHUSETTS AVE","BOSTON","MA","02115-3043","Nov-77","Landlord","4/7/2015","4/6/2020","A","A","Percentage","","1","5","THE UNITED CO APARTMENTS LLC","C/O BOYD/SMITH","#U 66071","221 MASSACHUSETTS AVE","BOSTON","MA","21153599","4,107","4,188","$88,367.00 ","$21.52 ","$101,622.00 ","$24.74 "
"171","Greater Boston","BOSTON","AUBURNDALE","240799002","2122 COMMONWEALTH AVE","AUBURNDALE","MA","02466-9998","Nov-62","USPS (Not Roof)","12/1/2012","11/30/2017","A","A","Percentage","","","","COE REALTY TRUST","COMMONWEALTH AVE","PO BOX 96","","NEWTON UPPER FALLS","MA","21640001","3,580","7,664","$68,000.00 ","$18.99 ","$75,000.00 ","$20.95 "
"172","Greater Boston","BOSTON","BABSON PARK","240799059","231 FOREST ST","WELLESLEY HILLS","MA","02481-6834","May-63","Landlord","5/1/2013","4/30/2018","P","P","None Specified","","1","5","BABSON COLLEGE","C/O TERESA PITARO","NICHOLS HALL","FOREST STREET","BABSON PARK","MA","24570310","580","1,210","$0.00 ","$0.00 ","$15,817.00 ","$27.27 "
"173","Greater Boston","BOSTON","BEACH","240799238","151 VFW PKWY STE 3","REVERE","MA","02151-9991","Nov-97","USPS","11/1/2015","10/31/2020","A","A","Percentage","","1","5","WONDERLAND MARKETPLACE INC","C/O KEYPOINT PARTNERS, LLC","ONE BURLINGTON WOODS DR","","BURLINGTON","MA","18034503","2,840","3,624","$69,580.00 ","$24.50 ","$78,270.00 ","$27.56 "
"174","Greater Boston","BOSTON","BELMONT","240799004","405 CONCORD AVE","BELMONT","MA","02478-9998","Sep-49","USPS (Not Roof)","2/1/2005","1/31/2020","A","A","Reimbursable","N","","","BULL RLTY LLC TR","405 CONCORD RLTY TRST","C/O THE BULFINCH CO INC","250 FIRST AVE STE 200","NEEDHAM","MA","24942805","12,080","24,343","$210,000.00 ","$17.38 ","$0.00 ","$0.00 "
"175","Greater Boston","BOSTON","BOSTON COLLEGE BR.","240799077","136 COMMONWEALTH AVE","CHESTNUT HILL","MA","02467-9991","Mar-62","Landlord","1/1/2015","12/31/2019","A","A","None Specified","","","","TRUSTEES OF BOSTON COLLEGE","FINANCIAL VP-TREASURER","129 LAKE STREET","ROOM 540","CHESTNUT HILL","MA","24673859","322","322","$1.00 ","$0.00 ","$0.00 ","$0.00 "
"176","Greater Boston","BOSTON","BRAINTREE","240799183","333 COMMERCE DR","BRAINTREE","MA","02184-9998","Nov-93","Landlord","11/17/2013","11/16/2018","A","F","Reimbursable","Y","","","ROBERT MASLOW","11756 BANYAN RIM DR","","","WHITTIER","CA","906014714","68,028","194,468","$493,969.50 ","$7.26 ","$0.00 ","$0.00 "
"177","Greater Boston","BOSTON","BRAINTREE POSTAL STORE","240799178","125 PEARL ST","BRAINTREE","MA","02184-6525","Aug-93","USPS (Not Roof)","8/1/2013","7/31/2018","A","A","Percentage","N","3","15","PEARL PLAZA RLTY TRUST","ATTN: FRANCIS X MESSINA","TRUSTEE","PO BOX 859059","BRAINTREE","MA","21859059","6,385","14,685","$159,625.00 ","$25.00 ","$193,147.00 ","$30.25 "
"178","Greater Boston","BOSTON","BRIGHTON","240799040","424 WASHINGTON ST","BRIGHTON","MA","02135-9998","Jun-54","USPS (Not Roof)","6/1/2013","5/31/2018","A","A","Reimbursable","N","1","5","CAPALDI LTD PARTNERSHIP","200 DEXTER AVE STE 204","","","WATERTOWN","MA","24724238","16,637","32,000","$290,000.00 ","$17.43 ","$319,000.00 ","$19.17 "
"179","Greater Boston","BOSTON","BROOKLINE VILLAGE BR.","240799070","207 WASHINGTON ST","BROOKLINE","MA","02445-9998","Jul-59","Landlord","12/1/2014","11/30/2019","A","A","Percentage","","1","5","WARREN PROPERTIES GROUP LLC","PO BOX 282","","","BROOKLINE","MA","24460282","1,691","1,759","$82,368.00 ","$48.71 ","$98,017.92 ","$57.96 "
"180","Greater Boston","BOSTON","CATHEDRAL ","240799152","59 W DEDHAM ST","BOSTON","MA","02118-9998","Aug-86","USPS","8/1/2014","7/31/2019","A","A","None Specified","","1","5","INQUILINOS BORICUAS EN ACCION","405 SHAWMUT AVENUE","","","BOSTON","MA","21182029","2,990","4,040","$109,900.00 ","$36.76 ","$120,890.00 ","$40.43 "
"181","Greater Boston","BOSTON","CHARLES ST STA","240799041","136 CHARLES ST","BOSTON","MA","02114-9991","Nov-52","USPS","4/1/2014","3/31/2019","A","A","Reimbursable","","","","LARRY M POST","142 MARLBOROUGH ST","","","BOSTON","ME","21161902","914","914","$55,620.00 ","$60.85 ","$0.00 ","$0.00 "
"182","Greater Boston","BOSTON","CHARLESTOWN","240799242","23 AUSTIN ST","CHARLESTOWN","MA","02129-9998","Jan-99","USPS","1/1/2014","12/31/2018","A","A","Percentage","","","","BUNKER HILL MALL LLC","C/O NEW ENGLAND DEVELOPMENT","75 PARK PLAZA","","BOSTON","MA","21163941","3,459","4,978","$167,200.00 ","$48.34 ","$0.00 ","$0.00 "
"183","Greater Boston","BOSTON","CHELSEA","240799181","320 BROADWAY STE 1","CHELSEA","MA","02150-9991","Dec-92","Landlord","12/12/2012","12/11/2017","A","A","Percentage","N","","","GERALD M SNEIRSON","PO BOX 505125","","","CHELSEA","MA","21505125","4,268","6,968","$50,861.00 ","$11.92 ","$0.00 ","$0.00 "
"184","Greater Boston","BOSTON","CODMAN SQUARE STATION","240799190","554 WASHINGTON ST","DORCHESTER CENTER","MA","02124-9997","Aug-98","USPS (Not Roof)","7/7/1998","7/6/2018","A","A","Percentage","N","2","10","ANTHONY RODNEY INVESTMENT TRUST","C/O STETSON MANAGEMENT & DEVELOPMEN","875 MAIN ST FLOOR 2","","CAMBRIDGE","MA","21393597","2,526","4,126","$35,364.00 ","$14.00 ","$38,900.00 ","$15.40 "
"185","Greater Boston","BOSTON","DORCHESTER CENTER STA","240799043","450 TALBOT AVE","DORCHESTER CENTER","MA","02124-9998","Jan-66","USPS (Not Roof)","1/1/2011","12/31/2020","A","A","Reimbursable","","","","RUSCITO BROTHERS LLC","PO BOX 287","","","RANDOLPH","MA","23680287","9,467","14,072","$175,500.00 ","$18.54 ","$0.00 ","$0.00 "
"186","Greater Boston","BOSTON","E. BOSTON / WINTHROP C/A","240799251","65 MAIN ST","WINTHROP","MA","02152-2715","Jan-99","USPS (Not Roof)","9/1/1999","5/31/2019","P","P","Reimbursable","Y","","","ARLINGTON CENTER GARAGE","AND SERVICE CORPORATION","SUITE 127","438 MASSACHUSTTS AVE","ARLINGTON","MA","24745101","19,200","56,628","$191,664.00 ","$9.98 ","$0.00 ","$0.00 "
"187","Greater Boston","BOSTON","EAST ARLINGTON","240799010","240 MASSACHUSETTS AVE","ARLINGTON","MA","02474-9998","Jul-50","USPS","4/1/2014","3/31/2019","A","A","Percentage","","","","DAURIA REALTY TRUST","LISA CRONIN TRUSTEE","55 WINTERBERRY DR","","FRANKLIN","MA","20384110","1,043","1,043","$26,075.00 ","$25.00 ","$0.00 ","$0.00 "
"188","Greater Boston","BOSTON","EAST BOSTON","240799117","50 MERIDIAN ST","BOSTON","MA","02128-9998","Mar-82","Landlord","5/1/2013","4/30/2018","A","A","Reimbursable","N","","","GENEROSO CIRUOLO","CAROLINA CIRUOLO, TRUSTEES","FIFTY MERIDIAN ST RLTY TRUST","PO BOX 475","EAST BOSTON","MA","21280475","3,300","4,459","$49,500.00 ","$15.00 ","$0.00 ","$0.00 "
"189","Greater Boston","BOSTON","EAST WATERTOWN BRANCH","240799011","589 MOUNT AUBURN ST","WATERTOWN","MA","02472-9991","Dec-49","USPS (Not Roof)","7/1/2011","6/30/2016","A","A","Reimbursable","","","","ESB REALTY LLC","34 WINSOR AVE","","","WATERTOWN","MA","24721460","1,064","1,064","$27,390.00 ","$25.74 ","$36,000.00 ","$33.83 "
"190","Greater Boston","BOSTON","EAST WEYMOUTH","240799012","1377 COMMERCIAL ST","EAST WEYMOUTH","MA","02189-9998","Jul-61","USPS (Not Roof)","7/1/2011","6/30/2016","A","A","Reimbursable","","1","10","MASS POSTAL HLDGS LLC","123 GROVE AVE STE 222","","","CEDARHURST","NY","115162302","5,624","17,400","$75,924.00 ","$13.50 ","$94,000.00 ","$16.71 "
"191","Greater Boston","BOSTON","EVERETT RETAIL","240799207","11 NORWOOD ST","EVERETT","MA","02149-9998","Aug-00","USPS (Not Roof)","8/1/2015","7/31/2020","A","A","Percentage","","","","CARMEN STROSCIO","88 LONGMEADOW ROAD","","","NORWOOD","MA","20625547","5,151","5,151","$99,000.00 ","$19.22 ","$0.00 ","$0.00 "
"192","Greater Boston","BOSTON","FEDERAL RESERVE BANK","512756352","600 ATLANTIC AVE","BOSTON","MA","02210-2204","","Landlord","9/1/2010","8/31/2015","X","Z","None Specified","N","1","5","FEDERAL RESERVE BANK","600 ATLANTIC AVE","","","BOSTON","MA","21062204","0","0","$0.00 ","$0.00 ","$0.00 ","$0.00 "
"193","Greater Boston","BOSTON","FENWAY CARRIER ANNEX","240799188","1313 BOYLSTON ST","BOSTON","MA","02215-9997","Sep-96","USPS","9/5/1996","9/4/2016","P","P","Percentage","N","1","","JARA REALTY TRUST","C/O NE DEVELOPMENT","75 PARK PLAZA","","BOSTON","MA","21163941","9,347","25,000","$209,300.00 ","$22.39 ","$600,000.00 ","$64.19 "
"194","Greater Boston","BOSTON","FIELDS CORNER RETAIL","240799044","218 ADAMS ST","DORCHESTER","MA","02122-9998","Jan-58","USPS","1/1/2016","12/31/2020","A","A","Percentage","","","","RICHARD JERRIER","PO BOX 220001","","","DORCHESTER","MA","21220009","3,870","4,143","$100,620.00 ","$26.00 ","$0.00 ","$0.00 "
"195","Greater Boston","BOSTON","HANOVER STREET STA","240799047","217 HANOVER ST","BOSTON","MA","02113-9998","Nov-52","USPS (Not Roof)","5/1/2012","4/30/2017","A","A","Percentage","","","","FRANCESCO GRACEFFA","DBA CAROLINE LLC","143 SANDRA LN","","NORTH ANDOVER","MA","18454613","1,585","1,585","$54,000.00 ","$34.07 ","$0.00 ","$0.00 "
"196","Greater Boston","BOSTON","HYDE PARK","240799203","1269 HYDE PARK AVE","HYDE PARK","MA","02136-2776","Dec-95","USPS (Not Roof)","12/1/2015","11/30/2020","A","A","Percentage","N","","","JOHN DAVID COREY","TRUSTEE OF THE BID PARK","AVENUE REALTY TRUST","84 MOUNT VERNON ST","BOSTON","MA","21081302","8,899","10,838","$55,438.00 ","$6.23 ","$0.00 ","$0.00 "
"197","Greater Boston","BOSTON","HYDE PARK CARRIER ANNEX","240799192","1575 HYDE PARK AVE","HYDE PARK","MA","02136-9998","Jul-95","USPS","7/1/2015","6/30/2020","A","A","Percentage","","1","5","HYDE PARK & RESERVATION","CORPORATION","C/O CHARLES DOW, TREAS","333 WASHINGTON ST STE 203-4","BOSTON","MA","21085133","11,930","32,545","$192,721.00 ","$16.15 ","$236,356.00 ","$19.81 "
"198","Greater Boston","BOSTON","HYDE PARK/MATT PKG","240799204","2-20 RESERVATION ROAD","BOSTON","MA","02136-9998","","Landlord","7/1/2015","6/30/2020","X","A","Percentage","","1","5","HYDE PARK & RESERVATION","CORPORATION","C/O CHARLES DOW, TREAS","333 WASHINGTON ST STE 203-4","BOSTON","MA","21085133","0","27,500","$50,875.00 ","$1.85 ","$59,125.00 ","$2.15 "
"199","Greater Boston","BOSTON","INSPECTION SERVICE OFFICE","240799014","495 SUMMER ST STE 600","BOSTON","MA","02210-2114","Oct-00","Landlord","10/1/2004","","E","E","None Specified","","","","UNITED STATES TREASURER","USAG FORT DEVENS - RFTA","30 QUEBEC ST BOX 7","","FORT DEVENS","MA","14344479","28,484","32,152","$0.00 ","$0.00 ","$0.00 ","$0.00 "
"200","Greater Boston","BOSTON","JAMAICA PLAIN STATION","240799257","655 CENTRE ST","JAMAICA PLAIN","MA","02130-9998","May-05","USPS (Not Roof)","5/1/2015","4/30/2030","A","A","Reimbursable","","","","MYRTLE CENTRE LTD PTSHP","MYRTLE CENTRE INC GEN PTR","% S L SCHLAGER, PRDS","250 FIRST AVE STE 200","NEEDHAM","MA","24942805","24,260","33,900","$991,750.00 ","$40.88 ","$0.00 ","$0.00 "
"201","Greater Boston","BOSTON","JOHN FITZGERALD KENNEDY","240799087","25 NEW CHARDON ST LBBY","BOSTON","MA","02114-9998","Nov-68","USPS (Not Roof)","11/1/2013","10/31/2018","A","A","Percentage","N","","","25 NEW CHARDON STREET","LIMITED PARTNERSHIP 250 FIRST AVE S","250 FIRST AVE STE 200","","NEEDHAM","MA","24942805","39,485","48,533","$137,135.00 ","$3.47 ","$0.00 ","$0.00 "
"202","Greater Boston","BOSTON","JOHN HANCOCK TOWER BOSTON","512756327","200 CLARENDON STREET","BOSTON","MA","02116-5021","","Landlord","4/1/2014","3/31/2019","X","Z","None Specified","N","","","GLOBAL TOWER LLC","ATTN: LEASE ADMIN","1801 CLINT MOORE RD STE 215","","BOCA RATON","FL","334872752","0","144","$12,507.31 ","$86.86 ","$0.00 ","$0.00 "
"203","Greater Boston","BOSTON","KENMORE ","240799050","11 DEERFIELD ST","BOSTON","MA","02215-9998","Aug-73","USPS (Not Roof)","9/1/2011","8/31/2016","P","P","Percentage","","","","TRUSTEES OF BOSTON UNIV","11-19 DEERFIELD ST","","","BOSTON","MA","22151915","9,022","10,697","$297,960.00 ","$33.03 ","$357,522.00 ","$39.63 "
"204","Greater Boston","BOSTON","LAFAYETTE STATION","240799113","7 AVENUE DE LAFAYETTE","BOSTON","MA","02111-9998","Jul-77","Landlord","7/1/2014","6/30/2019","A","A","None Specified","N","","","SUMMER CHAUNCY HOLDINGS LLC","DBA 99 CHAUNCY OWNER LLC","C/O SYNERGY INVESTMENTS","100 FRANKLIN ST STE 200","BOSTON","MA","21101539","3,846","4,332","$204,240.00 ","$53.10 ","$0.00 ","$0.00 "
"205","Greater Boston","BOSTON","MALDEN","240799082","109 MOUNTAIN AVE","MALDEN","MA","02148-9998","Feb-66","Landlord","2/1/2016","5/31/2016","A","A","None Specified","Y","","","HORSENECK LLC","1099 HORSENECK RD","","","WESTPORT","MA","27901387","19,039","51,205","$149,999.00 ","$7.88 ","$0.00 ","$0.00 "
"206","Greater Boston","BOSTON","MASS. GEN. HOSP. SSPU","240799074","32 FRUIT ST","BOSTON","MA","02114-2620","Apr-73","Landlord","4/1/1978","","Y","A","None Specified","N","","","","","","","","","","398","398","$1.00 ","$0.00 ","$0.00 ","$0.00 "
"207","Greater Boston","BOSTON","MATTAPAN","240799200","1602 BLUE HILL AVE","MATTAPAN","MA","02126-9998","Feb-98","USPS (Not Roof)","2/3/2013","2/2/2018","A","A","Percentage","N","2","10","KRASNR/MATTAPN ASSOC LP","ATTN JEFFREY M KRASNER","70 PENNOCK RD","","ASHLAND","MA","17214416","11,000","8,668","$105,000.00 ","$9.55 ","$121,000.00 ","$11.00 "
"208","Greater Boston","BOSTON","MELROSE","240799015","23 ESSEX ST","MELROSE","MA","02176-9998","Jun-49","USPS (Not Roof)","7/1/2015","6/30/2020","A","A","Reimbursable","N","1","5","9 COMMONWEALTH CORP.","398 COLUMBUS AVE STE 365","","","BOSTON","MA","21166008","4,882","10,396","$100,000.00 ","$20.48 ","$110,000.00 ","$22.53 "
"209","Greater Boston","BOSTON","MILK STREET STATION","240799264","31 MILK ST LBBY","BOSTON","MA","02109-9997","Jan-04","Landlord","1/1/2014","12/31/2018","A","A","Reimbursable","N","1","5","31 RAM LLC","2 REGENCY RIDGE","","","ANDOVER","MA","18104882","6,620","8,171","$337,225.00 ","$50.94 ","$0.00 ","$0.00 "
"210","Greater Boston","BOSTON","MILTON VILLAGE BR","240799017","50 ADAMS ST","MILTON","MA","02186-3412","May-68","Landlord","5/1/2008","4/30/2018","A","A","Percentage","","","","THE MILTON ADAMS ST LLC","GARDE REALTY TRUST","60 ADAMS ST","","MILTON","MA","21863422","1,020","1,380","$24,240.00 ","$23.76 ","$0.00 ","$0.00 "
"211","Greater Boston","BOSTON","MISSION HILL ","240799201","1575 TREMONT ST LBBY","ROXBURY CROSSING","MA","02120-9998","Aug-96","Landlord","8/7/2011","8/6/2016","A","A","Percentage","","1","2","1575 TREMONT REALTY TRUST","C/O BLUESTONE MGMT SERVICES","100 WELLS AVE STE 200","","NEWTON","MA","24593243","2,770","6,070","$41,328.00 ","$14.92 ","$41,328.00 ","$14.92 "
"212","Greater Boston","BOSTON","NEEDHAM HEIGHTS","240799063","844 HIGHLAND AVE","NEEDHAM HEIGHTS","MA","02494-9998","Aug-58","USPS (Not Roof)","8/1/2013","7/31/2018","A","A","Percentage","","1","5","WELLESLEY HILLS PROP TRUST","C/O SL SCHLAGER TRUSTEE","250 FIRST AVE STE 200","","NEEDHAM","MA","24942885","3,836","4,614","$110,000.00 ","$28.68 ","$124,000.00 ","$32.33 "
"213","Greater Boston","BOSTON","NEWTON CENTER RETAIL","240799239","716 BEACON ST","NEWTON CENTER","MA","02459-9997","Oct-98","USPS (Not Roof)","10/15/1998","10/14/2018","A","A","Percentage","N","","","CANTON CIRCLE LLC","C/O CGI MGMT INC","637 WASHINGTON ST STE 200","","BROOKLINE","MA","24464579","5,188","15,560","$207,500.80 ","$40.00 ","$0.00 ","$0.00 "
"214","Greater Boston","BOSTON","NEWTON CENTRE C/A","240799020","211 SUMNER ST","NEWTON CENTER","MA","02459-9998","Apr-58","Landlord","2/1/2015","1/31/2020","A","A","Percentage","","1","5","HENDERSON PROP LP","280 HILLSIDE AVE","","","NEEDHAM","MA","21941343","5,960","9,060","$178,800.00 ","$30.00 ","$196,680.00 ","$33.00 "
"215","Greater Boston","BOSTON","NEWTON HIGHLANDS","240799021","63 LINCOLN ST","NEWTON HIGHLANDS","MA","02461-9998","Jun-50","Landlord","5/1/2014","4/30/2019","A","A","Percentage","","1","5","MALLIOS REALTY TRUST","DIMITRIOS M MALLIOS TTE","57 LINCOLN ST","","NEWTON","MA","24611520","3,071","5,020","$119,940.00 ","$39.06 ","$137,931.00 ","$44.91 "
"216","Greater Boston","BOSTON","NEWTON LOWER FALLS","240799154","2344 WASHINGTON ST STE 1","NEWTON LOWER FALLS","MA","02462-9998","Sep-88","Landlord","9/1/2013","8/31/2018","A","A","Percentage","N","2","10","NDNE WASHINGTON ST LP","% NATIONAL DEV OF NEW ENG","2310 WASHINGTON ST","","NEWTON LOWER FALLS","MA","24621449","2,271","4,861","$69,947.00 ","$30.80 ","$76,941.00 ","$33.88 "
"217","Greater Boston","BOSTON","NEWTON UPPER FALLS","240799023","81 OAK ST","NEWTON UPPER FALLS","MA","02464-9998","Mar-50","USPS","3/1/2015","2/29/2020","A","A","None Specified","","","","OAK ASSOCIATES LP","43 TROY LN","","","WABAN","MA","24681016","1,650","12,600","$44,932.00 ","$27.23 ","$0.00 ","$0.00 "
